Dataset,Accuracy,F1,Rounds
Yoga,0.6304,0.6747883169770115,16.6
WormsTwoClass,0.7220779220779221,0.757255305266256,13.2
Worms,0.6155844155844156,0.5495738765227618,6.4
WordSynonyms,0.4987460815047022,0.32035291953073625,4.2
Wine,0.5,0.13333333333333333,7.6
Wafer,0.9796236210253082,0.9887276875362251,8.6
UWaveGestureLibraryZ,0.6895589056393077,0.6788712513718355,5.0
UWaveGestureLibraryY,0.6693467336683417,0.6659843581334338,6.0
UWaveGestureLibraryX,0.7516471245114461,0.7538418269683443,5.0
UWaveGestureLibraryAll,0.9084310441094361,0.9083783987166117,6.0
UMD,0.775,0.7539948633238601,9.6
TwoPatterns,0.9884,0.9884166639793681,7.6
TwoLeadECG,0.7738366988586479,0.7440244739398684,14.2
Trace,0.96,0.9607046608595468,4.0
ToeSegmentation2,0.7923076923076924,0.5712696989209677,13.0
ToeSegmentation1,0.7140350877192982,0.6623030545890735,11.6
SyntheticControl,0.98,0.9800004514256313,5.4
Symbols,0.9370854271356784,0.9363836189604379,10.8
SwedishLeaf,0.8272,0.8198174253928002,3.4
Strawberry,0.8745945945945947,0.8971840158632488,8.0
StarLightCurves,0.9630888780961632,0.948270855434792,6.4
SonyAIBORobotSurface2,0.7934942287513117,0.8442257807515761,14.8
SonyAIBORobotSurface1,0.6399334442595673,0.7033237670123583,20.0
SmoothSubspace,0.8013333333333333,0.7957062228321757,16.4
SmallKitchenAppliances,0.7712,0.7637236023570789,10.4
ShapesAll,0.635,0.6143505101877272,5.8
ShapeletSim,0.5011111111111111,0.5338289962825279,7.2
ShakeGestureWiimoteZ,0.1,0.01818181818181818,8.4
SemgHandSubjectCh2,0.704,0.6871713521627644,5.2
SemgHandMovementCh2,0.32755555555555554,0.2698819248633503,11.6
SemgHandGenderCh2,0.6163333333333333,0.4836043569503648,15.4
ScreenType,0.4224,0.41328506155599826,11.4
Rock,0.536,0.5296039806018191,5.6
RefrigerationDevices,0.45546666666666663,0.44016399021527003,13.8
ProximalPhalanxTW,0.6995121951219512,0.39559945849149625,3.8
ProximalPhalanxOutlineCorrect,0.7305841924398625,0.8108964438180741,17.4
ProximalPhalanxOutlineAgeGroup,0.8224390243902439,0.7030161869733127,12.8
PowerCons,0.93,0.929943600779479,13.2
Plane,0.9828571428571429,0.9831326417714421,4.6
PLAID,0.061452513966480445,0.010526315789473682,7.8
PigCVP,0.1125,0.09485663547371596,4.8
PigArtPressure,0.3019230769230769,0.281318769907176,3.8
PigAirwayPressure,0.07692307692307693,0.07037895864818942,6.0
PickupGestureWiimoteZ,0.1,0.01818181818181818,7.6
Phoneme,0.16360759493670887,0.08295655274397223,3.2
PhalangesOutlinesCorrect,0.7337995337995338,0.8063338436697298,8.6
OSULeaf,0.5933884297520661,0.5558855988100164,4.6
OliveOil,0.33333333333333337,0.12307692307692308,8.2
NonInvasiveFetalECGThorax2,0.7274300254452927,0.6951605172210942,2.2
NonInvasiveFetalECGThorax1,0.6740966921119593,0.6372718285370563,2.4
MoteStrain,0.8591054313099041,0.8274641724253419,15.0
MixedShapesSmallTrain,0.8085773195876289,0.8047630569879543,4.4
MixedShapesRegularTrain,0.9101855670103093,0.9094177131199993,4.6
MiddlePhalanxTW,0.5441558441558442,0.33669716587537674,3.6
MiddlePhalanxOutlineCorrect,0.7463917525773196,0.7831467939647067,16.6
MiddlePhalanxOutlineAgeGroup,0.6116883116883117,0.43456303172851163,14.0
MelbournePedestrian,0.7590815908159081,0.7472287274407081,3.4
MedicalImages,0.6431578947368422,0.525255485354323,5.6
Meat,0.5633333333333334,0.46100818428687285,15.4
Mallat,0.7268230277185501,0.6797640942295229,3.6
Lightning7,0.6821917808219178,0.6450184139622638,10.0
Lightning2,0.6786885245901639,0.7189443270028044,13.4
LargeKitchenAppliances,0.7248,0.7201985224212515,9.4
